lon,lat,ws_mean
118.5,23.75,4.3401
118.625,23.75,4.1472
118.75,23.75,3.7001
118.875,23.75,3.6147
119.0,23.75,3.524
119.125,23.75,3.5638
119.25,23.75,3.3747
119.375,23.75,3.5136
119.5,23.75,3.2794
119.625,23.75,3.652
119.75,23.75,4.8004
119.875,23.75,6.5662
121.75,23.75,1.9531
118.0,23.875,3.232
118.125,23.875,3.1438
118.25,23.875,3.845
118.375,23.875,4.0326
118.5,23.875,4.2751
118.625,23.875,4.2959
118.75,23.875,3.2432
118.875,23.875,3.3352
119.0,23.875,3.3805
119.125,23.875,3.2597
119.25,23.875,3.0713
119.375,23.875,3.0995
119.5,23.875,3.0413
119.625,23.875,3.9112
119.75,23.875,4.6358
119.875,23.875,5.7725
120.0,23.875,7.1005
121.75,23.875,2.4577
118.125,24.0,3.3433
118.25,24.0,4.2036
118.375,24.0,4.4145
118.5,24.0,3.9115
118.625,24.0,3.6901
118.75,24.0,2.6905
118.875,24.0,2.6596
119.0,24.0,3.1159
119.125,24.0,3.1959
119.25,24.0,3.1376
119.375,24.0,3.2022
119.5,24.0,3.2214
119.625,24.0,3.5045
119.75,24.0,3.8693
119.875,24.0,4.0621
120.0,24.0,5.336
120.125,24.0,6.6922
121.75,24.0,3.541
118.25,24.125,4.6712
118.375,24.125,3.324
118.5,24.125,3.8421
118.625,24.125,3.6375
118.75,24.125,1.8438
118.875,24.125,2.1379
119.0,24.125,2.5575
119.125,24.125,2.7405
119.25,24.125,2.8498
119.375,24.125,2.7386
119.5,24.125,3.127
119.625,24.125,3.4388
119.75,24.125,3.5602
119.875,24.125,3.8162
120.0,24.125,4.768
120.125,24.125,6.121
118.125,24.25,4.5653
118.25,24.25,2.8035
118.375,24.25,3.6512
118.5,24.25,4.8706
118.625,24.25,3.5369
118.75,24.25,2.4231
118.875,24.25,2.2955
119.0,24.25,2.2346
119.125,24.25,2.1644
119.25,24.25,2.6374
119.375,24.25,2.9895
119.5,24.25,3.3626
119.625,24.25,3.4594
119.75,24.25,3.2549
119.875,24.25,3.5627
120.0,24.25,3.5283
120.125,24.25,3.5403
120.25,24.25,6.6377
118.125,24.375,5.5373
118.25,24.375,5.2483
118.375,24.375,3.0424
118.5,24.375,4.0086
118.625,24.375,3.6908
118.75,24.375,5.4646
118.875,24.375,2.862
119.0,24.375,2.3461
119.125,24.375,2.3728
119.25,24.375,2.4716
119.375,24.375,3.4145
119.5,24.375,3.2588
119.625,24.375,3.5552
119.75,24.375,3.2579
119.875,24.375,3.063
120.0,24.375,3.2752
120.125,24.375,3.488
120.25,24.375,2.8182
118.125,24.5,4.8885
118.25,24.5,4.8967
118.375,24.5,4.5945
118.5,24.5,5.4466
118.625,24.5,2.7038
118.75,24.5,2.0353
